,종목코드
638,051530
639,066850
640,004820
641,048140
642,004790
643,093400
644,048460
645,025920
646,081220
647,000470
648,040180
649,046720
650,073930
651,015050
652,036210
653,012090
654,004550
655,018410
656,034010
657,126680
658,037540
659,080980
660,101990
661,122750
662,054150
663,041630
664,036920
665,053330
666,090540
667,003640
668,001670
669,121910
670,050470
671,033850
672,123290
673,003900
674,066060
675,071660
676,089480
677,036610
678,081190
679,034510
680,128910
681,053040
682,123300
683,049000
684,032420
685,008540
686,012410
687,093410
688,010670
689,121950
690,037380
691,045470
692,053440
693,110310
694,091690
695,017160
696,011800
697,080970
698,040020
699,065610
700,036280
701,085990
702,149130
703,081930
704,007200
705,009010
706,066300
707,081090
708,014900
709,080180
710,081200
711,025610
712,056710
713,038720
714,064420
715,041030
716,123550
717,071530
718,028090
719,019120
720,004010
721,124050
722,019260
723,123910
724,056810
725,008080
726,042820
727,038120
728,037240
729,013780
730,014300
731,123160
732,080030
733,105070
734,041060
735,053000
736,046810
737,042340
738,041550
739,034600
740,080960
741,035450
742,046430
743,072530
744,016890
745,003330
746,042570
747,045310
748,047420
749,038810
750,053890
751,066200
752,078610
753,073780
754,081500
755,011020
756,050600
757,083160
758,060550
759,093730
760,032050
761,036900
762,005330
763,064720
764,041940
765,035270
766,057330
767,053170
768,071360
769,036760
770,036360
771,076170
772,038410
773,065910
774,054440
775,056060
776,004530
777,065810
778,073530
779,039060
780,057110
781,072450
782,048270
783,003990
784,009890
785,054250
786,032590
787,033330
788,089170
789,089180
790,089190
791,089200
792,038960
793,012990
794,058680
795,009790
796,066330
797,067910
798,054790
799,005760
800,015670
801,044370
802,060660
803,055970
804,073470
805,064900
806,003040
807,085450
808,025830
809,088510
810,016040
811,037060
812,001830
813,060410
814,003660
815,056020
816,012460
817,041310
818,010200
819,025450
820,009220
821,003930
822,021570
823,009080
824,008780
825,016970
826,033210
827,038400
828,037250
829,018180
830,036820
831,063510
832,037750
833,039000
834,027440
835,038050
836,035870
837,037220
838,037730
839,035780
840,001150
841,043690
842,036020
843,053250
844,055810
845,054530
846,004190
847,025690
848,008030
849,032180
850,070540
851,002850
852,048150
853,003590
854,005890
855,054080
856,019930
857,048540
858,027350
859,037500
860,006150
861,038980
862,037010
863,046000
864,037650
865,038100
866,036880
867,056500
868,006750
869,009360
870,032610
871,036910
872,036060
873,036590
874,009940
875,006600
876,031150
877,047610
878,054370
879,045920
880,053200
881,000380
882,005600
883,042960
884,049370
885,027700
886,036600
887,001580
888,023420
889,066480
890,031970
891,002950
892,001980
893,037120
894,010730
895,001280
896,039580
897,035960
898,039390
899,002930
900,035910
901,144630
902,068870
903,090980
904,090970
905,086830
906,037620
907,050640
908,194860
909,091000
910,090990
911,050050
912,083610
913,005560
914,083600
915,083580
916,083570
917,083590
918,204760
919,004320
920,082930
921,058370
922,083360
923,083390
