,정규직수
781,3
782,185
783,14
784,112
785,144
786,6
787,25
788,36
789,45
790,505
791,117
792,11
793,3
794,2
795,3
796,49
797,48
798,190
799,90
800,317
801,35
802,134
803,4
804,128
805,3
806,138
807,19
808,7
809,0
810,578
811,43
812,2
813,1
814,9
815,10
816,10
817,15
818,16
819,29
820,11
821,4
822,1164
823,751
824,447
825,172
826,132
827,50
828,93
829,12
830,415
831,120
832,34
833,13
834,97
835,11
836,99
837,32
838,0
839,0
840,77
841,44
842,42
843,16
844,392
845,90
846,63
847,2
848,111
849,44
850,57
851,7
852,10
853,5
854,21
855,9
856,58
857,1232
858,1175
859,37
860,27
861,74
862,0
863,55
864,54
865,58
866,11
867,278
868,46
869,802
870,107
871,228
872,21
873,11
874,434
875,130
876,99
877,166
878,51
879,37
880,372
881,77
882,510
883,100
884,6
885,1
886,1
887,5
888,2
889,11
890,7
891,19
892,27
893,15
894,1
895,813
896,311
897,361
898,126
899,837
900,9
901,291
902,32
903,370
904,52
905,151
906,4
907,155
908,3
909,44
910,2
911,79
912,8
913,1
914,0
915,95
916,2
917,13
918,1
919,122
920,75
921,8
922,108
923,1302
924,50
925,756
926,58
927,8
928,19
929,126
930,8
931,30
932,20
933,21
934,25
935,345
936,63
937,11
938,23
939,20
940,7
941,7
942,2
943,2
944,0
945,4
946,7
947,1
948,1
949,1
950,1
951,183
952,26
953,149
954,75
955,120
956,54
957,73
958,46
959,296
960,81
961,33
962,13
963,19
964,5
965,49
966,38
967,9
968,36
969,16
970,0
971,809
972,169
973,175
974,20
975,45
976,3
977,137
978,7
979,471
980,398
981,7
982,1
983,2
984,108
985,232
986,717
987,728
988,92
989,7
990,2135
991,1489
992,325
993,116
994,129
995,183
996,7
997,49
998,273
999,10
1000,448
1001,42
1002,14
1003,3
1004,33
1005,45
1006,8725
1007,8393
1008,107
1009,15
1010,213
1011,86
1012,203
1013,37
1014,36
1015,6
1016,64
1017,1
1018,13
1019,2
1020,39
1021,0
1022,115
1023,11
1024,1
1025,298
1026,104
1027,54
1028,15
1029,10
1030,14
1031,20
1032,24
1033,1
1034,25
1035,2
1036,0
1037,65
1038,62
1039,15
1040,9
1041,12
1042,3
1043,44
1044,4
1045,12
1046,1
1047,6
1048,72
1049,15
1050,9
1051,1
1052,17
1053,7
1054,2
1055,1
1056,176
1057,13
1058,84
1059,9
1060,565
1061,325
1062,54
1063,61
1064,1
1065,1
1066,1
1067,4
1068,2
1069,3
1070,70
1071,59
1072,30
1073,3
1074,126
1075,8
1076,210
1077,33
1078,51
1079,16
1080,173
1081,67
1082,175
1083,27
1084,88
1085,12
1086,714
1087,37
1088,32
1089,7
1090,278
1091,69
1092,169
1093,7
1094,163
1095,5
1096,290
1097,17
1098,48
1099,10
1100,142
1101,25
1102,18
1103,1
1104,49
1105,6
1106,18
1107,4
1108,96
1109,15
1110,185
1111,112
1112,131
1113,25
1114,15
1115,6
1116,4632
1117,225
1118,103
1119,5
1120,531
1121,557
1122,40
1123,19
1124,15
1125,3
1126,64
1127,31
1128,41
1129,9
1130,64
1131,8
1132,209
1133,25
1134,23
1135,107
1136,43
1137,34264
1138,1249
1139,5830
1140,7035
1141,16
1142,14
1143,91
1144,9
1145,46
1146,1
1147,201
1148,5
1149,195
1150,27
1151,99
1152,13
1153,4
1154,2
1155,54
1156,5
1157,128
1158,54
1159,182
1160,12
1161,67
1162,31
1163,50
1164,6
1165,30
1166,3
1167,2
1168,0
1169,10
1170,1
1171,0
1172,5
1173,14
1174,6
1175,11
1176,1
1177,18
1178,6
1179,246
1180,4
1181,20
1182,4
1183,94
1184,13
1185,73
1186,13
1187,147
1188,169
1189,9
1190,1
1191,2
1192,4
1193,32
1194,26
1195,56
1196,33
1197,120
1198,33
1199,0
1200,0
1201,68
1202,4
1203,36
1204,43
1205,110
1206,189
1207,5
1208,2
1209,0
1210,7
1211,267
1212,19
1213,290
1214,6
1215,40
1216,3
1217,33
1218,12
1219,10
1220,2
1221,986
1222,229
1223,265
1224,324
1225,329
1226,206
1227,361
1228,7
1229,9
1230,0
1231,71
1232,5
1233,11
1234,8
1235,6
1236,19
1237,30
1238,1
1239,21
1240,7
1241,37
1242,1
1243,2
1244,2
1245,52
1246,10
1247,33
1248,31
1249,40
1250,3
1251,1
1252,1
1253,61
1254,11
1255,29
1256,1
1257,265
1258,83
1259,2
1260,2
1261,165
1262,54
1263,54
1264,40
1265,19
1266,8
1267,6
1268,1
1269,19
1270,11
1271,0
1272,0
1273,132
1274,18
1275,118
1276,123
1277,18
1278,12
1279,20
1280,11
1281,4
1282,5
1283,97
1284,97
1285,575
1286,88
1287,167
1288,15
1289,685
1290,83
1291,164
1292,3
1293,3893
1294,111
1295,14
1296,0
1297,0
1298,0
1299,26
1300,20
1301,63
1302,6
1303,20
1304,13
1305,44
1306,3
1307,103
1308,13
1309,10
1310,3
1311,23
1312,8
1313,144
1314,20
1315,66
1316,26
1317,295
1318,103
1319,477
1320,289
1321,302
1322,67
1323,12
1324,18
1325,168
1326,401
1327,673
1328,79
1329,39
1330,14
1331,1
1332,126
1333,101
1334,3
1335,6
1336,3
1337,1
1338,2
1339,1
1340,11
1341,8
1342,3
1343,6
1344,7
1345,1562
1346,448
1347,93
1348,103
1349,143
1350,46
1351,158
1352,44
1353,87
1354,20
1355,2085
1356,2723
1357,5
1358,1
1359,14
1360,10
1361,25
1362,10
1363,21
1364,15
1365,29
1366,9
1367,51
1368,6
1369,3
1370,1
1371,4
1372,3
1373,5
1374,1
1375,3
1376,3
1377,1
1378,1
1379,240
1380,112
1381,87
1382,8
1383,547
1384,277
1385,64
1386,18
1387,15
1388,1
1389,54
1390,7
1391,52
1392,10
