,정규직수
6724,54
6725,188
6726,15
6727,5
6728,28
6729,6
6730,7
6731,15
6732,12
6733,22
6734,9
6735,196
6736,15
6737,55
6738,8
6739,151
6740,59
6741,42
6742,2
6743,3
6744,0
6745,97
6746,4
6747,724
6748,625
6749,3
6750,14
6751,7
6752,5
6753,4
6754,39
6755,27
6756,195
6757,8
6758,7
6759,21
6760,6
6761,10
6762,2
6763,9
6764,5
6765,4
6766,64
6767,82
6768,5
6769,0
6770,236
6771,7
6772,39
6773,9
6774,15
6775,4
6776,78
6777,218
6778,7
6779,8
6780,12
6781,1
6782,19
6783,9
6784,46
6785,4
6786,20
6787,6
6788,66
6789,3
6790,25
6791,4
6792,350
6793,19
6794,100
6795,23
6796,52
6797,4
6798,43
6799,95
6800,9
6801,32
6802,17
6803,9
6804,22
6805,20
6806,140
6807,39
6808,126
6809,173
6810,141
6811,11
6812,8
6813,2
6814,5
6815,2
6816,6
6817,9
6818,3
6819,1
6820,0
6821,0
6822,1
6823,0
6824,6
6825,1
6826,0
6827,0
6828,8
6829,4
6830,45
6831,6
6832,1
6833,0
6834,260
6835,55
6836,10
6837,13
6838,2
6839,1578
6840,991
6841,538
6842,503
6843,39
6844,37
6845,9
6846,3
6847,6
6848,2
6849,224
6850,9
6851,311
6852,12
6853,116
6854,35
6855,7
6856,71
6857,5
6858,74
6859,1
6860,41
6861,10
6862,6
6863,10
6864,53
6865,19
6866,6
6867,8
6868,21
6869,7
6870,532
6871,283
6872,274
6873,91
6874,11
6875,6
6876,44
6877,47
6878,9
6879,8
6880,17
6881,16
6882,10
6883,7
6884,7
6885,2
6886,18
6887,9
6888,91
6889,50
6890,265
6891,354
6892,38
6893,4
6894,172
6895,24
6896,900
6897,640
6898,327
6899,36
6900,680
6901,677
6902,369
6903,261
6904,140
6905,60
6906,320
6907,142
6908,78
6909,15
6910,24
6911,6
6912,5
6913,0
6914,60
6915,3
6916,0
6917,0
6918,977
6919,156
6920,2354
6921,47
6922,700
6923,189
6924,504
6925,104
6926,16
6927,5
6928,31
6929,6
6930,45
6931,14
6932,134
6933,26
6934,357
6935,18
6936,19
6937,5
6938,14
6939,0
6940,17
6941,2
6942,82
6943,25
6944,95
6945,8
6946,17
6947,4
6948,67
6949,3
6950,41
6951,9
6952,47
6953,12
6954,22
6955,4
6956,91
6957,24
6958,8
6959,5
6960,6
6961,6
6962,0
6963,0
6964,0
6965,0
6966,54
6967,12
6968,76
6969,10
6970,98
6971,39
6972,88
6973,29
6974,108
6975,21
6976,5
6977,3
6978,307
6979,39
6980,14
6981,30
6982,6
6983,8
6984,14
6985,32
6986,13
6987,12
6988,1078
6989,14
6990,1
6991,1
6992,19316
6993,4093
6994,274
6995,69
6996,289
6997,178
6998,3805
6999,410
7000,1603
7001,94
7002,147
7003,8
7004,88
7005,8
7006,444
7007,50
7008,11
7009,3
7010,5
7011,3
7012,23
7013,2
7014,7
7015,1
7016,62
7017,3
7018,52
7019,4
7020,102
7021,3
7022,14
7023,20
7024,84
7025,72
7026,161
7027,29
7028,154
7029,9
7030,12
7031,5
7032,10
7033,1
7034,22
7035,3
7036,62
7037,7
7038,45
7039,16
7040,6
7041,2
7042,51
7043,18
7044,221
7045,106
7046,18
7047,7
7048,295
7049,48
7050,19
7051,28
7052,10
7053,7
7054,7
7055,3
7056,32
7057,56
7058,27
7059,8
7060,2
7061,0
7062,13
7063,3
7064,3
7065,2
7066,49
7067,7
7068,35
7069,16
7070,108
7071,28
7072,4
7073,2
7074,133
7075,170
7076,5
7077,3
7078,888
7079,314
7080,491
7081,106
7082,4
7083,1
7084,22
7085,5
7086,7
7087,1
7088,19
7089,401
7090,92
7091,66
7092,9
7093,481
7094,3
7095,27
7096,2
7097,25
7098,1
7099,43
7100,43
7101,240
7102,106
7103,185
7104,27
7105,67
7106,17
7107,20
7108,0
7109,476
7110,32
7111,82
7112,67
7113,8
7114,5
7115,11
7116,3
7117,111
7118,4
7119,22
7120,2
7121,68
7122,6
7123,48
7124,61
7125,32
7126,5
7127,501
7128,456
7129,65
7130,75
7131,239
7132,277
7133,17
7134,25
7135,281
7136,226
7137,271
7138,13
7139,174
7140,10
7141,139
7142,107
7143,33
7144,38
7145,109
7146,17
7147,100
7148,14
7149,24
7150,36
7151,14
7152,4
7153,2
7154,0
7155,12
7156,4
7157,67
7158,8
7159,61
7160,25
7161,50
7162,12
7163,345
7164,20
7165,14
7166,3
7167,380
7168,18
7169,46
7170,27
7171,11
7172,1032
7173,73
7174,50
7175,23
7176,70
7177,22
7178,595
7179,89
7180,135
7181,13
7182,105
7183,38
7184,37
7185,16
7186,149
7187,21
7188,125
7189,14
7190,102
7191,79
7192,30
7193,19
7194,2409
7195,270
7196,513
7197,461
7198,15
7199,13
7200,0
7201,4
7202,5
7203,13
7204,14
7205,5
7206,259
7207,51
7208,1664
7209,2963
7210,113
7211,46
7212,101
7213,110
7214,42
7215,10
7216,85
7217,6
7218,56
7219,13
7220,222
7221,83
7222,145
7223,22
7224,308
7225,47
7226,25
7227,3
7228,17
7229,2
7230,57
7231,1
7232,49
7233,28
7234,106
7235,43
7236,8
7237,12
7238,70
7239,8
7240,28
7241,33
7242,8
7243,2
7244,265
7245,18
7246,177
7247,102
7248,32
7249,7
7250,245
7251,367
7252,3
7253,11
7254,44
7255,11
7256,2
7257,2
7258,38
7259,1
7260,180
7261,15
7262,18
7263,2
7264,3
7265,2
7266,25
7267,19
7268,9
7269,33
7270,13
7271,7
7272,37
7273,40
7274,78
7275,37
7276,123
7277,16
7278,13
7279,0
7280,9
7281,5
7282,858
7283,489
7284,37
7285,12
7286,419
7287,132
7288,12
7289,2
7290,2
7291,10
7292,4
7293,32
7294,4
7295,10
7296,0
7297,19
7298,8
7299,91
7300,19
7301,112
7302,148
7303,0
7304,0
7305,0
7306,0
7307,21
7308,27
7309,10
7310,5
7311,139
7312,20
7313,3
7314,46
7315,7
7316,121
7317,75
7318,0
7319,36
7320,43
7321,21
7322,73
7323,5
7324,70
7325,7
7326,6
7327,4
7328,5
7329,9
7330,23
7331,3
7332,3
7333,0
7334,14
7335,3
7336,24
7337,15
7338,12
7339,2
7340,194
7341,282
7342,25
7343,12
7344,15
7345,14
7346,155
7347,25
7348,2
7349,4
7350,1
7351,20
7352,9
7353,13
7354,10
7355,43
7356,320
7357,18
7358,49
7359,2
7360,203
7361,40
7362,14
7363,16
7364,50
7365,2
7366,57
7367,4
7368,66
7369,83
7370,66
7371,6
7372,10
7373,1
7374,106
7375,22
7376,241
7377,0
7378,162
7379,43
7380,325
7381,19
7382,508
7383,282
7384,23
7385,8
7386,1018
7387,352
7388,208
7389,16
7390,1002
7391,44
7392,157
7393,82
7394,561
7395,49
7396,62
7397,12
7398,81
7399,7
7400,379
7401,3
7402,304
7403,4
7404,95
7405,10
7406,7
7407,1
7408,6
7409,1
7410,83
7411,20
7412,183
7413,10
7414,190
7415,4
7416,50
7417,5
7418,216
7419,292
7420,20
7421,19
7422,30
7423,6
7424,37
7425,30
7426,9
7427,2
7428,118
7429,64
7430,51
7431,54
7432,297
7433,13
7434,111
7435,135
7436,114
7437,8
7438,22
7439,4
7440,17
7441,11
7442,39
7443,11
7444,192
7445,34
7446,38
7447,3
7448,32
7449,9
7450,535
7451,70
7452,1
7453,1
7454,7
7455,1
7456,1
7457,1
7458,43
7459,2
7460,257
7461,31
7462,97
7463,6
7464,154
7465,32
7466,78
7467,22
7468,22
7469,32
7470,35
7471,63
7472,38
7473,18
7474,17
7475,30
7476,200
7477,32
7478,0
7479,0
7480,74
7481,31
7482,423
7483,18
7484,36
7485,15
7486,172
7487,44
7488,25
7489,15
7490,30
7491,22
7492,0
7493,0
7494,0
7495,0
7496,17
7497,8
7498,26
7499,2
7500,63
7501,53
7502,227
7503,4
7504,76
7505,17
7506,45
7507,3
7508,13
7509,0
7510,220
7511,86
7512,144
7513,56
7514,431
7515,60
7516,112
7517,12
7518,152
7519,175
7520,0
7521,3
7522,29
7523,21
7524,28
7525,11
7526,9
7527,220
7528,2
7529,91
7530,11
7531,30
7532,18
7533,47
7534,7
7535,0
7536,0
7537,194
7538,39
7539,92
7540,28
7541,37
7542,18
7543,67
7544,9
7545,26
7546,10
7547,11
7548,12
7549,1
7550,0
7551,374
7552,31
7553,118
7554,18
7555,87
7556,17
7557,710
7558,577
7559,39
7560,202
7561,34
7562,6
7563,1
7564,0
7565,710
7566,577
7567,39
7568,202
7569,73
7570,7
7571,525
7572,279
7573,580
7574,41
7575,3
7576,2
7577,19
7578,6
7579,28
7580,124
7581,24
7582,34
7583,5
7584,294
7585,64
7586,32
7587,22
7588,41
7589,5
7590,22
7591,7
7592,745
7593,586
7594,19
7595,3
7596,98
7597,42
7598,20
7599,2
7600,1
7601,1
7602,1
7603,107
7604,29
7605,86
7606,55
7607,3
7608,3
7609,1
7610,2
7611,2
7612,1
7613,2
7614,13
7615,1
7616,7
7617,5
7618,10
7619,13
7620,33
7621,35
7622,44
7623,8
7624,217
7625,101
7626,161
7627,68
7628,59
7629,24
7630,13
7631,6
7632,56
7633,17
7634,23
7635,97
7636,15
7637,138
7638,16
7639,118
7640,18
7641,16
7642,18
7643,22
7644,3
7645,154
7646,33
7647,55
7648,12
7649,36
7650,4
7651,131
7652,21
7653,15
7654,12
7655,102
7656,29
7657,13
7658,2
7659,77
7660,15
7661,42
7662,4
7663,9
7664,2
7665,0
7666,0
7667,13
7668,5
7669,100
7670,15
7671,16
7672,3
7673,38
7674,8
7675,37
7676,25
7677,110
7678,28
7679,275
7680,27
7681,88
7682,27
7683,37
7684,1
7685,42
7686,23
7687,30
7688,17
7689,26
7690,9
7691,6
7692,4
7693,14
7694,16
7695,43
7696,3
7697,216
7698,31
7699,6
7700,0
7701,72
7702,14
7703,10
7704,1
7705,101
7706,21
7707,79
7708,57
7709,185
7710,60
7711,825
7712,131
7713,1
7714,3
7715,2
7716,32
7717,23
7718,15
7719,41
7720,29
7721,5
7722,59
7723,2
7724,7
7725,3
7726,6
7727,7
7728,7
7729,2
7730,1
7731,2
7732,2
7733,255
7734,81
7735,281
7736,8
7737,39
7738,29
7739,168
7740,14
7741,372
7742,1
7743,4
7744,117
7745,72
7746,19
7747,11
7748,304
7749,102
7750,21
7751,20
7752,154
7753,9
7754,9
7755,2
7756,3
7757,2
7758,32
7759,35
7760,2
7761,18
7762,0
7763,9
7764,0
7765,6
7766,455
7767,34
7768,210
7769,19
7770,61
7771,2
7772,83
7773,16
7774,131
7775,7
7776,16065
7777,834
7778,796
7779,151
7780,728
7781,29
7782,288
7783,75
7784,378
7785,18
7786,817
7787,62
7788,708
7789,60
7790,562
7791,27
7792,549
7793,20
7794,527
7795,10
7796,371
7797,3
7798,728
7799,67
7800,1061
7801,24
7802,1549
7803,337
7804,1229
7805,60
7806,401
7807,18
7808,90
7809,46
7810,21
7811,3
7812,0
7813,210
7814,31
7815,63
7816,2
7817,186
7818,93
7819,11
7820,23
7821,6
7822,2
7823,98
7824,25
7825,0
7826,94
7827,16
7828,39
7829,15
7830,80
7831,21
7832,17
7833,3
7834,44
7835,34
7836,207
7837,78
7838,5
7839,1
7840,7
7841,1
7842,9
7843,3
7844,3
7845,2
7846,8
7847,17
7848,12
7849,23
7850,4
7851,8
7852,7
7853,6
7854,8
7855,11
7856,84
7857,76
7858,0
7859,28
7860,5
7861,30
7862,2
7863,11
7864,30
7865,69
7866,37
7867,47
7868,15
7869,38
7870,11
7871,189
7872,139
7873,384
7874,218
7875,237
7876,22
7877,39
7878,4
7879,102
7880,5
7881,1002
7882,85
7883,1927
7884,109
7885,32
7886,6
7887,261
7888,5
7889,91
7890,27
7891,33
7892,14
7893,60
7894,10
7895,4
7896,10
7897,33
7898,22
7899,37
7900,16
7901,231
7902,32
7903,22
7904,23
7905,45
7906,29
7907,16
7908,7
7909,2
7910,1
7911,55
7912,21
7913,2
7914,3
7915,2
7916,9
7917,3
7918,2
7919,1
7920,1
7921,1
7922,28
7923,11
7924,66
7925,12
7926,60
7927,10
7928,49
7929,12
7930,4
7931,4
7932,2
7933,0
7934,16
7935,12
7936,6
7937,0
7938,0
7939,5
7940,4
7941,4
7942,11
7943,4
7944,19
7945,1
7946,12
7947,1
7948,16
7949,3
7950,49
7951,5
7952,40
7953,27
7954,158
7955,49
7956,239
7957,68
7958,74
7959,22
7960,17
7961,7
7962,14
7963,11
7964,661
7965,58
7966,31
7967,42
7968,91
7969,13
7970,24
7971,7
7972,40
7973,8
7974,195
7975,2
7976,22
7977,1
7978,39
7979,6
7980,13
7981,182
7982,67
7983,176
7984,0
7985,102
7986,1
7987,6
7988,9
7989,16
7990,2
7991,6
7992,85
7993,16
7994,100
7995,25
7996,61
7997,83
7998,411
7999,39
8000,90
8001,18
8002,321
8003,256
8004,48
8005,66
8006,145
8007,148
8008,455
8009,340
8010,2
8011,420
8012,74
8013,32
8014,2
8015,7
8016,6
8017,5177
8018,7407
8019,90
8020,8
8021,37
8022,11
8023,29
8024,26
8025,85
8026,65
8027,254
8028,0
8029,33
8030,34
8031,430
8032,277
8033,194
8034,78
8035,1100
8036,1227
8037,0
8038,0
8039,15
8040,234
8041,533
8042,113
8043,569
8044,1031
8045,32
8046,11
8047,74
8048,15
8049,0
8050,0
8051,0
8052,0
8053,0
8054,0
8055,70
8056,18
8057,463
8058,76
8059,266
8060,30
8061,38
8062,3
8063,186
8064,12
8065,507
8066,44
8067,92
8068,16
8069,230
8070,134
8071,144
8072,67
8073,114
8074,20
8075,1358
8076,169
8077,1097
8078,402
8079,13
8080,2
8081,5
8082,5
8083,1
8084,1
8085,3
8086,5
8087,9
8088,11
8089,176
8090,29
8091,360
8092,182
8093,24
8094,23
8095,461
8096,219
8097,2654
8098,253
8099,488
8100,26
8101,148
8102,34
8103,327
8104,60
8105,2240
8106,28
8107,29
8108,10
8109,94
8110,44
8111,2163
8112,254
8113,2082
8114,286
8115,612
8116,20
8117,1065
8118,105
8119,2162
8120,340
8121,58
8122,33
8123,29
8124,28
8125,42
8126,29
8127,7
8128,2
8129,0
8130,0
8131,35
8132,27
8133,2142
8134,287
8135,57
8136,94
8137,3
8138,16
8139,167
8140,14
8141,10617
8142,1522
8143,396
8144,16
8145,79
8146,28
8147,1805
8148,2542
8149,140
8150,6
8151,1707
8152,1636
8153,791
8154,35
8155,135
8156,9
8157,26
8158,10
8159,6
8160,2
8161,60
8162,37
8163,58
8164,0
8165,17
8166,34
8167,5
8168,1
8169,115
8170,19
8171,33
8172,9
8173,17837
8174,4435
8175,223
8176,7
8177,177
8178,26
8179,26
8180,29
8181,22
8182,2
8183,8
8184,6
8185,10
8186,9
8187,244
8188,9
8189,41
8190,13
8191,3
8192,5
8193,15
8194,8
8195,25
8196,2
8197,188
8198,55
8199,0
8200,0
8201,0
8202,0
8203,0
8204,476
8205,43
8206,8075
8207,222
8208,2585
8209,80
8210,1747
8211,47
8212,1311
8213,142
8214,13718
8215,491
8216,806
8217,19
8218,44
8219,33
8220,16
8221,0
8222,35
8223,2
8224,0
8225,195
8226,3
8227,2187
8228,291
8229,246
8230,109
8231,497
8232,30
8233,183
8234,24
8235,201
8236,21
8237,94
8238,35
8239,51
8240,54
8241,3
8242,1
8243,613
8244,2402
8245,696
8246,397
8247,92
8248,10
8249,81
8250,65
8251,6662
8252,284
8253,50
8254,2
8255,141
8256,30
8257,387
8258,460
8259,155
8260,81
8261,446
8262,286
8263,36
8264,72
8265,22
8266,8
8267,356
8268,13
8269,93
8270,4
8271,416
8272,8
8273,28
8274,1
8275,60
8276,22
8277,1323
8278,3021
8279,1
8280,249
8281,40
8282,46
8283,120
8284,64
8285,341
8286,121
8287,23
8288,12
8289,0
8290,0
8291,47
8292,15
8293,9
8294,1
8295,20
8296,8
8297,133
8298,3
8299,516
8300,360
8301,659
8302,47
8303,127
8304,23
8305,238
8306,37
8307,0
8308,0
8309,482
8310,63
8311,548
8312,33
8313,50
8314,32
8315,1617
8316,643
8317,61
8318,28
8319,830
8320,609
8321,570
8322,281
8323,304
8324,1
8325,219
8326,7
8327,1923
8328,898
8329,286
8330,692
8331,20
8332,4
8333,180
8334,177
8335,43
8336,17
8337,209
8338,352
8339,81
8340,119
8341,0
8342,0
8343,7
8344,15
8345,162
8346,653
8347,265
8348,51
8349,18
8350,11
8351,107
8352,29
8353,32
8354,6
8355,999
8356,91
8357,185
8358,10
8359,203
8360,32
8361,368
8362,42
8363,142
8364,121
8365,65
8366,21
8367,85
8368,26
8369,29
8370,5
8371,241
8372,25
8373,22
8374,5
8375,65
8376,108
8377,94
8378,848
8379,19
8380,73
8381,6
8382,428
8383,24
8384,57
8385,10
8386,485
8387,34
8388,42
8389,4
8390,425
8391,22
8392,101
8393,13
8394,169
8395,34
8396,695
8397,69
8398,24
8399,23
8400,29
8401,16
8402,36
8403,28
8404,2019
8405,60
8406,154
8407,44
8408,43
8409,57
8410,294
8411,65
8412,139
8413,29
8414,181
8415,19
8416,44
8417,12
8418,19
8419,559
8420,26
8421,105
8422,11
8423,98
8424,13
8425,373
8426,15
8427,13
8428,7
8429,22
8430,4
8431,58
8432,4
8433,5682
8434,288
8435,1929
8436,255
8437,2878
8438,426
8439,103
8440,10
8441,79
8442,80
8443,150
8444,29
8445,140
8446,11
8447,319
8448,6
8449,258
8450,30
8451,51
8452,0
8453,285
8454,54
8455,9
8456,1
8457,28
8458,3
8459,13
8460,3
8461,1
8462,4
8463,5
8464,1
8465,7
8466,3
8467,68
8468,4
8469,68
8470,15
8471,133
8472,244
8473,65
8474,76
8475,19
8476,33
8477,11
8478,37
8479,12
8480,3754
8481,423
8482,203
8483,81
8484,1256
8485,85
8486,124
8487,149
8488,36
8489,41
8490,284
8491,10
8492,540
8493,27
8494,523
8495,39
8496,156
8497,5
8498,150
8499,35
8500,2105
8501,1771
8502,1396
8503,1794
8504,282
8505,43
8506,846
8507,88
8508,1013
8509,136
8510,1
8511,331
8512,55
8513,1474
8514,80
8515,0
8516,0
8517,0
8518,0
8519,544
8520,101
8521,950
8522,2
8523,42
8524,25
8525,90
8526,20
8527,228
8528,153
8529,202
8530,117
8531,9
8532,89
8533,1143
8534,756
8535,496
8536,615
8537,507
8538,261
8539,591
8540,100
8541,60
8542,5
8543,140
8544,52
8545,35
8546,6
8547,1536
8548,684
8549,2
8550,4
8551,2
8552,160
8553,29
8554,941
8555,164
8556,230
8557,30
8558,33
8559,29
8560,0
8561,0
8562,17
8563,18
8564,12
8565,8
8566,13
8567,21
8568,821
8569,13
8570,457
8571,15
8572,757
8573,52
8574,1013
8575,36
8576,1139
8577,148
8578,1279
8579,58
8580,142
8581,19
8582,136
8583,36
8584,487
8585,2296
8586,160
8587,339
8588,785
8589,1001
8590,233
8591,14
8592,334
8593,98
8594,143
8595,17
8596,62
8597,8
8598,270
8599,37
8600,1016
8601,79
8602,806
8603,29
8604,590
8605,124
8606,412
8607,14
8608,1684
8609,26
8610,894
8611,12
8612,412
8613,3
8614,562
8615,211
8616,6936
8617,808
8618,1827
8619,97
8620,3034
8621,43
8622,23
8623,28
8624,249
8625,84
8626,1289
8627,1569
8628,440
8629,9
8630,55
8631,15
8632,11
8633,3533
8634,34
8635,81
8636,7
8637,11
8638,0
8639,27
8640,2
8641,121
8642,13
8643,288
8644,36
8645,44
8646,36
8647,357
8648,31
8649,133
8650,32
8651,439
8652,31
8653,390
8654,22
8655,734
8656,23
8657,273
8658,6
8659,1054
8660,90
8661,979
8662,85
8663,2041
8664,175
8665,350
8666,96
8667,1743
8668,146
8669,1287
8670,256
8671,111
8672,19
8673,134
8674,43
8675,812
8676,7
8677,748
8678,18
8679,502
8680,27
8681,1087
8682,12
8683,133
8684,131
8685,2384
8686,106
8687,62497
8688,3389
8689,57
8690,13
8691,266
8692,47
8693,27
8694,21
8695,11040
8696,246
8697,272
8698,14
8699,315
8700,12
8701,153
8702,63
8703,47
8704,22
8705,116
8706,68
8707,796
8708,690
8709,1119
8710,620
8711,329
8712,120
8713,731
8714,54
8715,373
8716,119
8717,127
8718,31
8719,54
8720,25
8721,23
8722,11
8723,36
8724,8
8725,1040
8726,19
8727,372
8728,17
8729,198
8730,17
8731,245
8732,54
8733,84
8734,6
8735,12
8736,8
8737,2127
8738,1718
8739,210
8740,161
8741,250
8742,334
8743,323
8744,129
8745,139
8746,13
8747,22
8748,3
8749,8
8750,12
8751,12
8752,7
8753,49
8754,53
8755,16
8756,20
8757,15
8758,1
8759,1
8760,9
8761,266
8762,40
8763,28
8764,96
8765,1400
8766,855
8767,322
8768,584
8769,544
8770,174
8771,109
8772,88
8773,2375
8774,1701
8775,372
8776,460
8777,689
8778,452
8779,24
8780,5
8781,18
8782,11
8783,63
8784,70
8785,91
8786,47
8787,129
8788,77
8789,44
8790,10
8791,31
8792,5
8793,125
8794,23
8795,5
8796,80
8797,3
8798,98
8799,6
8800,62
8801,16
8802,5
8803,1
8804,65
8805,8
8806,866
8807,147
8808,828
8809,49
8810,173
8811,4
8812,62
8813,11
8814,52
8815,40
8816,13
8817,108
8818,0
8819,90
8820,42
8821,296
8822,30
8823,246
8824,6
8825,77
8826,1
8827,277
8828,9
8829,297
8830,125
8831,94
8832,19
8833,125
8834,16
8835,74
8836,5
8837,256
8838,81
8839,455
8840,102
8841,194
8842,83
8843,1072
8844,6129
8845,65
8846,17
8847,1800
8848,112
8849,659
8850,34
8851,22
8852,1
8853,377
8854,29
8855,34
8856,29
8857,283
8858,53
8859,3175
8860,258
8861,918
8862,90
8863,915
8864,103
8865,167
8866,99
8867,64
8868,23
8869,1146
8870,225
8871,971
8872,77
8873,60
8874,30
8875,1031
8876,107
8877,319
8878,20
8879,10
8880,21
8881,25
8882,4
8883,22
8884,0
8885,50
8886,24
8887,54
8888,39
8889,72
8890,15
8891,59
8892,54
8893,0
8894,0
8895,81
8896,12
8897,234
8898,28
8899,118
8900,39
8901,44
8902,45
8903,96
8904,15
8905,35
8906,22
8907,23
8908,422
8909,34
8910,57
8911,15
8912,155
8913,59
8914,1
8915,1
8916,8
8917,4
8918,137
8919,53
8920,27
8921,18
8922,850
8923,96
8924,115
8925,16
8926,19
8927,1
8928,11
8929,5
8930,5
8931,1
8932,31
8933,1
8934,50
8935,21
8936,516
8937,27
8938,432
8939,249
8940,76
8941,49
8942,54
8943,73
8944,201
8945,143
8946,44
8947,9
8948,194
8949,1
8950,2
8951,3
8952,2
8953,3
8954,21
8955,4
8956,10
8957,0
8958,102
8959,4
8960,298
8961,297
8962,92
8963,41
8964,638
8965,390
8966,131
8967,36
8968,324
8969,10
8970,0
8971,43
8972,19
8973,818
8974,170
8975,74
8976,32
8977,10
8978,3
8979,128
8980,10
8981,26
8982,1
8983,9
8984,2
8985,59
8986,8
8987,309
8988,146
8989,60
8990,45
8991,15
8992,5
8993,47
8994,10
8995,399
8996,23
8997,32
8998,10
8999,77
9000,8
9001,82
9002,26
9003,1598
9004,526
9005,16
9006,4
9007,8
9008,3
9009,77
9010,7
9011,309
9012,154
9013,50
9014,13
9015,175
9016,294
9017,25
9018,88
9019,9
9020,33
9021,14
9022,1166
9023,1444
9024,757
9025,924
9026,31
9027,66
9028,29
9029,57
9030,5
9031,9
9032,320
9033,478
9034,380
9035,331
9036,41
9037,42
9038,5220
9039,843
9040,221
9041,192
9042,4642
9043,1691
9044,851
9045,356
9046,257
9047,137
9048,1330
9049,4298
9050,224
9051,146
9052,126
9053,75
9054,146
9055,77
9056,2
9057,4
9058,23
9059,7
9060,28
9061,9
9062,42
9063,10
9064,41
9065,65
9066,9
9067,245
9068,66
9069,32
9070,10
9071,0
9072,0
9073,0
9074,0
9075,289
9076,124
9077,110
9078,33
9079,109
9080,62
9081,263
9082,312
9083,1942
9084,2528
9085,21
9086,4
9087,1035
9088,929
9089,88
9090,12
9091,717
9092,27
9093,962
9094,74
9095,1085
9096,66
9097,340
9098,60
9099,488
9100,27
9101,450
9102,9
9103,45
9104,4
9105,239
9106,4
9107,82
9108,14
9109,52
9110,5
9111,159
9112,28
9113,266
9114,31
9115,11
9116,4
9117,142
9118,25
9119,149
9120,13
9121,253
9122,18
9123,52
9124,49
9125,6
9126,9
9127,15
9128,2
9129,1
9130,34
9131,14
9132,4
9133,1
9134,3
9135,1
9136,15
9137,4
9138,89
9139,18
9140,9
9141,34
9142,0
9143,0
9144,2
9145,3
9146,17
9147,157
9148,223
9149,58
9150,36
9151,22
9152,11
9153,4
9154,3
9155,69
9156,1
9157,808
9158,1019
9159,0
9160,0
9161,0
9162,0
9163,0
9164,0
9165,32
9166,8
9167,554
9168,50
9169,1318
9170,53
9171,172
9172,11
9173,1348
9174,139
9175,515
9176,10
9177,364
9178,8
9179,663
9180,95
9181,187
9182,55
9183,1749
9184,489
9185,843
9186,1924
9187,51
9188,7
9189,573
9190,629
9191,116
9192,21
9193,1929
9194,111
9195,544
9196,40
9197,114
9198,17
9199,310
9200,110
9201,260
9202,27
9203,8
9204,5
9205,55
9206,4
9207,258
9208,21
9209,57
9210,7
9211,17
9212,1
9213,26
9214,5
9215,40
9216,8
9217,72
9218,1
9219,168
9220,14
9221,104
9222,7
9223,52
9224,4
9225,212
9226,42
9227,689
9228,28
9229,992
9230,25
9231,728
9232,12
9233,931
9234,160
9235,38
9236,23
9237,169
9238,195
9239,58
9240,8
9241,24
9242,8
9243,12
9244,3
9245,8
9246,7
9247,8
9248,3
9249,29
9250,12
9251,40
9252,45
9253,7
9254,3
9255,21
9256,11
9257,5
9258,0
9259,3
9260,32
9261,3
9262,0
9263,5
9264,0
9265,678
9266,309
9267,432
9268,13
9269,114
9270,21
9271,759
9272,18
9273,0
9274,0
9275,0
9276,0
9277,194
9278,131
9279,103
9280,37
9281,51
9282,11
9283,31
9284,32
9285,217
9286,353
9287,0
9288,196
9289,51
9290,228
9291,31
9292,873
9293,235
9294,77
9295,46
9296,100
9297,142
9298,96
9299,21
9300,85
9301,7
9302,16
9303,16
9304,139
9305,72
9306,136
9307,28
9308,161
9309,59
9310,335
9311,6
9312,192
9313,16
9314,73
9315,6
9316,188
9317,4
9318,12
9319,0
9320,29
9321,13
9322,9
9323,6
9324,109
9325,2
9326,9
9327,7
9328,3
9329,3
9330,6
9331,1
9332,8
9333,1
9334,8
9335,1
9336,6
9337,1
9338,9
9339,1
9340,2
9341,0
9342,23
9343,0
9344,14
9345,2
9346,193
9347,30
9348,29
9349,9
9350,446
9351,175
9352,52
9353,15
9354,91
9355,1028
9356,68
9357,77
9358,71
9359,138
9360,71
9361,93
9362,24
9363,81
9364,27
9365,7
9366,18
9367,4
9368,23
9369,1
9370,30
9371,9
9372,109
9373,27
9374,6
9375,2
9376,53
9377,9
9378,12
9379,4
9380,21
9381,8
9382,3
9383,2
9384,47
9385,8
9386,35
9387,9
9388,63
9389,37
9390,106
9391,11
9392,48
9393,8
9394,272
9395,28
9396,14
9397,4
9398,52
9399,4
9400,6
9401,0
9402,34
9403,6
9404,284
9405,73
9406,83
9407,155
9408,102
9409,1224
9410,6044
9411,145
9412,95
9413,1415
9414,5647
9415,24
9416,3
9417,39
9418,1
9419,406
9420,531
9421,147
9422,35
9423,21930
9424,4033
9425,593
9426,250
9427,881
9428,526
9429,667
9430,255
9431,22
9432,1381
9433,6323
9434,1120
9435,7944
9436,1678
9437,2233
9438,445
9439,1707
9440,160
9441,1175
9442,250
9443,1251
9444,301
9445,9143
9446,983
9447,3025
9448,445
9449,2873
9450,572
9451,3823
9452,585
9453,3108
9454,338
9455,11403
9456,2101
9457,33375
9458,5024
9459,829
9460,292
9461,5177
9462,415
9463,2771
9464,378
9465,1252
9466,459
9467,1496
9468,463
9469,1366
9470,110
9471,711
9472,70
9473,223
9474,22
9475,457
9476,107
9477,62
9478,8
9479,81
9480,34
9481,14
9482,3
9483,4
9484,0
9485,36
9486,3
9487,111
9488,3
9489,482
9490,13
9491,426
