,rcept_no,reprt_code,bsns_year,corp_code,stock_code,매출액,영업이익,자산총계
2578,20180330000024,11011,2017,00135795,029530,"558,437,441,837","32,621,677,585","940,545,761,393"
2579,20180330000040,11011,2017,00526951,095190,"104,620,011,624","-275,724,142","197,028,667,517"
2580,20180330000091,11011,2017,00158325,030190,"360,404,384,772","42,623,652,227","234,686,217,700"
2581,20180330000237,11011,2017,00235183,044780,"57,186,686,094","2,797,395,754","81,164,306,894"
2582,20180330000252,11011,2017,00357430,049960,"61,056,741,253","22,632,702,571","96,476,718,666"
2583,20180330000296,11011,2017,00170877,018120,"88,458,680,151","19,995,014,084","107,030,438,156"
2584,20180330000300,11011,2017,00301112,046390,"21,001,396,882","-178,462,998","44,058,837,941"
2585,20180330000318,11011,2017,00543107,080580,"39,319,105,298","74,587,191","56,891,730,637"
2586,20180330000372,11011,2017,00230911,036640,"67,720,042,187","7,668,274,860","103,078,257,500"
2587,20180330000378,11011,2017,00157070,025540,"744,446,391,461","66,145,012,587","875,170,056,492"
2588,20180330000387,11011,2017,00185222,045520,"77,107,946,913","6,293,671,717","65,672,134,848"
2589,20180330000395,11011,2017,00466428,074430,"16,835,419,722","1,075,247,104","49,371,248,728"
2590,20180330000436,11011,2017,00361169,041460,,,"48,493,863,342"
2591,20180330000440,11011,2017,00623661,104830,"203,032,358,774","32,882,076,013","279,621,313,989"
2592,20180330000484,11011,2017,00269852,041020,,"-14,230,848,512","44,550,489,410"
2593,20180330000654,11011,2017,00140779,014440,"164,618,162,618","12,471,273,390","179,187,991,350"
2594,20180330000668,11011,2017,00210856,071950,"114,066,384,956","659,259,849","79,069,618,324"
2595,20180330000672,11011,2017,00264945,036800,"366,436,946,944","43,124,470,448","494,197,481,407"
2596,20180330000700,11011,2017,00317681,059210,"65,341,013,870","2,333,381,849","119,664,761,242"
2597,20180330000702,11011,2017,00143907,012620,"233,964,614,949","9,230,669,372","196,712,382,536"
2598,20180330000732,11011,2017,00361266,056000,"30,676,038,966","267,138,183","22,125,522,440"
2599,20180330000735,11011,2017,00132868,011300,"203,110,710,825","-4,950,041,434","293,390,450,688"
2600,20180330000739,11011,2017,00199988,041930,"255,025,462,068","13,007,274,992","193,613,007,227"
2601,20180330000748,11011,2017,00148920,004910,"201,245,023,880","5,170,511,759","265,062,344,203"
2602,20180330000755,11011,2017,00994994,187790,"73,089,292,296","1,661,616,186","91,574,664,825"
2603,20180330000769,11011,2017,00445799,093920,"284,134,788,083","9,033,437,453","196,942,719,160"
2604,20180330000804,11011,2017,00204642,033830,"42,211,579,776","2,677,784,067","114,357,796,591"
2605,20180330000830,11011,2017,01113754,241790,"56,032,967,071","11,530,857,096","60,367,740,228"
2606,20180330000861,11011,2017,00146269,003200,"492,465,891,542","23,960,820,360","895,872,906,997"
2607,20180330000924,11011,2017,00297095,051490,"140,866,034,017","6,716,626,676","185,270,866,168"
2608,20180330000936,11011,2017,00131939,007610,"108,394,117,885","1,474,957,218","158,151,936,517"
2609,20180330000985,11011,2017,00351807,048910,"120,735,136,016","6,987,071,352","104,349,222,008"
2610,20180330001027,11011,2017,00259545,123040,"704,192,244,531","23,800,239,669","608,134,182,572"
2611,20180330001033,11011,2017,00134963,004430,"724,853,000,000","54,466,000,000","865,121,000,000"
2612,20180330001047,11011,2017,00352499,042500,"148,506,989,161","5,202,413,027","85,250,502,606"
2613,20180330001056,11011,2017,00531865,241690,"66,136,338,490","6,903,145,107","75,464,203,022"
2614,20180330001060,11011,2017,00231707,032850,"31,905,154,576","4,346,891,271","53,636,155,649"
2615,20180330001085,11011,2017,00270113,058110,"8,602,502,489","-1,023,022,400","22,742,806,032"
2616,20180330001087,11011,2017,00220057,032620,"82,091,101,258","7,507,284,056","69,086,704,962"
2617,20180330001101,11011,2017,00261887,062860,"67,241,627,623","-3,969,190,375","103,630,568,687"
2618,20180330001131,11011,2017,00145446,008250,"298,667,667,298","16,003,892,255","439,283,118,747"
2619,20180330001134,11011,2017,00551920,092730,"53,633,506,628","14,037,876,045","56,694,807,176"
2620,20180330001154,11011,2017,01124653,236200,"47,062,107,218","12,407,696,966","103,278,676,236"
2621,20180330001236,11011,2017,00508274,081000,"123,684,952,824","11,486,573,595","156,935,533,384"
2622,20180330001247,11011,2017,00369833,047400,"109,898,285,469","1,705,902,149","140,497,532,176"
2623,20180330001252,11011,2017,00144012,008370,"71,268,328,024","3,025,219,252","85,353,998,392"
2624,20180330001276,11011,2017,00564562,097520,"668,465,044,074","19,660,857,695","387,796,900,520"
2625,20180330001330,11011,2017,00807397,121850,"26,389,826,260","-7,529,257,378","45,676,171,374"
2626,20180330001397,11011,2017,01047707,208710,"70,020,157,996","6,655,823,912","63,923,411,428"
2627,20180330001398,11011,2017,00405719,052460,"92,532,326,296","2,120,093,557","61,810,691,421"
2628,20180330001415,11011,2017,00380429,058820,"41,535,587,785","2,326,702,779","112,758,554,952"
2629,20180330001438,11011,2017,00167192,005720,"314,030,027,354","73,407,302,896","1,085,451,847,674"
2630,20180330001445,11011,2017,00811372,194700,"80,853,618,027","9,897,600,005","71,798,440,550"
2631,20180330001456,11011,2017,00688358,221840,"44,684,830,225","1,989,436,960","130,846,671,734"
2632,20180330001464,11011,2017,00591441,102120,"105,824,400,960","7,541,112,955","89,757,485,827"
2633,20180330001486,11011,2017,00118275,003160,"152,165,620,184","11,515,168,561","201,552,129,250"
2634,20180330001489,11011,2017,00261656,049550,"57,608,453,121","-6,915,053,280","109,585,264,697"
2635,20180330001541,11011,2017,00127200,005680,"229,376,304,638","8,928,340,794","497,600,533,268"
2636,20180330001563,11011,2017,00184889,039020,"206,987,238,832","6,127,810,806","257,994,754,278"
2637,20180330001639,11011,2017,00103592,009290,"1,141,565,921,007","35,737,450,003","722,699,737,573"
2638,20180330001664,11011,2017,01047451,208370,"29,575,767,705","159,484,531","54,696,398,369"
2639,20180330001677,11011,2017,00371485,089010,"292,775,238,202","-10,295,131,220","220,667,821,437"
2640,20180330001699,11011,2017,00303217,049800,"229,589,677,096","6,217,427,626","313,148,634,732"
2641,20180330001710,11011,2017,00939331,161890,"821,615,970,194","66,976,058,780","668,548,553,526"
2642,20180330001720,11011,2017,00454937,090410,"125,887,824,950","8,124,597,423","106,622,625,332"
2643,20180330001731,11011,2017,00309831,061040,"287,143,153,551","10,368,896,953","185,953,927,685"
2644,20180330001740,11011,2017,00126362,006400,"6,321,560,921,969","116,894,786,518","15,751,476,329,733"
2645,20180330001776,11011,2017,00208444,031980,"275,390,544,841","57,678,366,255","276,692,093,358"
2646,20180330001784,11011,2017,00203290,024720,"490,565,263,213","81,763,630,838","746,857,715,191"
2647,20180330001843,11011,2017,00108241,004370,"2,208,260,639,714","96,383,975,917","2,449,898,372,957"
2648,20180330001865,11011,2017,00609324,100120,"123,460,627,030","28,634,930,173","137,641,189,361"
2649,20180330001898,11011,2017,00108065,015540,"66,582,365,088","-5,835,193,144","17,322,498,578"
2650,20180330001900,11011,2017,00161046,002390,"417,970,014,012","-1,870,621,301","639,346,108,573"
2651,20180330001947,11011,2017,00536523,090360,"206,521,698,595","10,461,861,297","130,234,776,235"
2652,20180330001976,11011,2017,01128613,241590,"768,224,189,587","58,540,854,159","626,784,092,861"
2653,20180330001992,11011,2017,00155355,017810,"2,238,114,683,314","53,472,586,733","1,103,028,814,900"
2654,20180330002002,11011,2017,00141529,007310,"2,126,150,492,294","146,055,183,226","1,721,705,316,486"
2655,20180330002010,11011,2017,00273420,047560,"58,522,219,416","-859,109,302","76,899,032,308"
2656,20180330002050,11011,2017,00486097,089600,,"34,298,134,448","315,966,979,864"
2657,20180330002084,11011,2017,00155531,005810,"314,763,117,386","73,629,195,926","818,457,485,598"
2658,20180330002145,11011,2017,01090471,222080,"26,122,123,664","-4,801,637,989","110,587,838,991"
2659,20180330002170,11011,2017,00109754,005750,"232,886,929,854","12,117,330,911","304,673,006,687"
2660,20180330002189,11011,2017,00684714,103140,"2,944,963,083,170","241,068,224,146","2,729,495,591,735"
2661,20180330002195,11011,2017,01042085,205100,"33,716,596,151","5,413,364,312","61,720,037,076"
2662,20180330002197,11011,2017,00161125,018880,"5,585,673,304,390","468,436,687,401","4,119,580,910,340"
